name,amount,date,production_company,channel,format,genre,fund_name
The Palace,"$294,205",Mar 2015,Rogue Productions,Maori Television,7 x 30 mins,Documentary,TV Production
Our Big Blue Backyard 2,"$2,066,927",Mar 2015,NHNZ,TV One,6 x 60 mins,Documentary,TV Platinum Fund
Smokefree Rockquest 2015,"$319,050",Mar 2015,Commotion,FOUR,6 x 30 mins,Children,TV Production
The Price Of Peace,"$60,000",Mar 2015,Conbrio Media,Maori Television,1 x 90 mins,Documentary,TV Production
Haka & Guitar,"$100,000",Mar 2015,NZ Feature Films,Maori Television,1 x 60 mins,Documentary,TV Production
Hautoa Ma!,"$71,700",Mar 2015,Blue Bach Productions,Maori Television,1 x 60 mins,Documentary,TV Production
Til Death Do Us Part,"$195,000",Mar 2015,Pan Pacific Films,TV3,1 x 60 mins,Documentary,TV Production
Born To Dance,"$110,000",Dec 2014,Sector 7 Productions,Maori Television,1 x 90 mins,Drama,TV Production
The Brokenwood Mysteries 2,"$4,036,000",Dec 2014,South Pacific Pictures,Prime,4 x 120 mins,Drama,TV Production
Coast New Zealand,"$1,748,576",Dec 2014,Great Southern Television,TV One,6 x 60 mins,Documentary,TV Platinum Fund
Comedy Gala 2015,"$121,477",Dec 2014,MediaWorks TV,TV3,1 x 120 mins,Comedy,TV Production
The Crayfishers,"$647,200",Dec 2014,Great Southern Television,Prime,10 x 30 mins,Documentary,TV Production
The Cul De Sac,"$1,154,942",Dec 2014,Greenstone TV,TV 2,6 x 30 mins,Children's Drama,TV Production
The Dream Team - An Attitude Special,"$176,500",Dec 2014,Attitude Pictures,TV One,1 x 60 mins,Special Interest,TV Production
The Hard Stuff With Nigel Latta 2,"$1,361,790",Dec 2014,Razor Films,TV One,8 x 60 mins,Documentary,TV Production
The New Zealand Home,"$746,889",Dec 2014,Eyeworks NZ,TV One,7 x 60 mins,Documentary,TV Platinum Fund
Media Take 2,"$482,193",Dec 2014,Top Shelf Productions Ltd,Maori Television,20 x 30 mins,Special Interest,TV Production
The Monster Of Mangatiti,"$897,101",Dec 2014,Screentime New Zealand,TV One,1 x 90 mins,Documentary,TV Platinum Fund
The Nation 2015,"$899,260",Dec 2014,MediaWorks TV,TV3,40 x 60 mins,News / Current Affairs,TV Platinum Fund
Waka Warriors,"$746,430",Dec 2014,Zoomslide Media,Maori Television,10 x 30 mins,Documentary,TV Production
Pukana Subtitles 2015,"$54,901",Dec 2014,Cinco Cine Film Productions,FOUR,80 x 30 mins,Special Interest,TV Production
Q + A 2015,"$845,356",Dec 2014,TVNZ,TV One,40 x 60 mins,News / Current Affairs,TV Platinum Fund
Songs From The Inside 3,"$285,000",Dec 2014,Awa Films,Maori Television,11 x 30 mins,Documentary,TV Production
3D Investigates,"$567,420",Dec 2014,MediaWorks TV,TV3,10 x 30 mins,News / Current Affairs,TV Platinum Fund
Topp Country 2,"$685,095",Dec 2014,Diva Productions,TV One,10 x 30 mins,Documentary,TV Production
Twain's Tour,"$890,556",Dec 2014,Jam TV,TV One,8 x 30 mins,Arts/Culture,TV Production
Anzac 2015,"$140,000",Oct 2014,Maori Television,Maori Television,4 x 30 mins,Arts/Culture,TV Production
Arranged,"$670,809",Oct 2014,Notable Pictures,TV3,8 x 60 mins,Special Interest,TV Production
Back Benches 2015,"$606,036",Oct 2014,TVNZ,Prime,20 x 60 mins,Special Interest,TV Production
The Barefoot Bandits,"$827,670",Oct 2014,Mukpuddy Animation,TV 2,10 x 30 mins,Children,TV Production
Best Bits 3,"$357,502",Oct 2014,The Downlowconcept,TV One,13 x 30 mins,Comedy,TV Production
Both Worlds 4,"$389,499",Oct 2014,Notable Pictures,TV3,10 x 30 mins,Special Interest,TV Production
Deer Devils,"$154,980",Oct 2014,Iguana Films,Prime,1 x 60 mins,Documentary,TV Production
Descent From Disaster - Gallipoli Special,"$224,785",Oct 2014,Screentime New Zealand,TV One,1 x 60 mins,Documentary,TV Platinum Fund
Filthy Rich,"$8,250,000",Oct 2014,Filthy Productions,TV 2,20 x 60 mins,Drama,TV Production
The 4.30 Show 2015,"$3,080,400",Oct 2014,Whitebait Productions,TV 2,200 x 30 mins,Children,TV Production
Fresh 2015,"$1,143,890",Oct 2014,Tikilounge Productions,TV 2,25 x 30 mins,Youth,TV Production
Funny Girls,"$278,997",Oct 2014,MediaWorks TV,TV3,6 x 30 mins,Comedy,TV Production
Gloriavale - Life And Death,"$170,000",Oct 2014,Pacific Screen,TV 2,1 x 60 mins,Documentary,TV Production
Making New Zealand - Mining And Drilling,"$184,845",Oct 2014,Top Shelf Productions Ltd,Prime,1 x 60 mins,Documentary,TV Platinum Fund
Jono And Ben 2015,"$1,611,390",Oct 2014,MediaWorks TV,TV3,26 x 60 mins,Comedy,TV Production
Little Monstar 2,"$394,980",Oct 2014,Tiki Tour (2010),TV 2,20 x 5 mins,Children,TV Production
Te Taki A Merata Mita,"$99,999",Oct 2014,Arama Pictures,Maori Television,1 x 120 mins,Documentary,TV Production
The Moe Show 2,"$1,974,926",Oct 2014,Pop-Up Workshop,FOUR,52 x 11 mins,Children,TV Production
Neighbourhood 2015,"$1,395,776",Oct 2014,Satellite Media Group,TV One,35 x 30 mins,Special Interest,TV Production
Peak Antibiotics,"$149,675",Oct 2014,Octopus Pictures,Prime,1 x 60 mins,Documentary,TV Production
Praise Be 2015,"$455,505",Oct 2014,TVNZ,TV One,40 x 30 mins,Special Interest,TV Production
Sticky TV 2015,"$2,364,627",Oct 2014,Pickled Possum Productions,FOUR,264 x 35 mins,Children,TV Production
Tagata Pasifika 2015,"$1,641,392",Oct 2014,Sunpix,TV One,53 x 30 mins,Special Interest,TV Production
Wiki The Kiwi 3,"$339,670",Oct 2014,Wiki the Kiwi,TV 2,12 x 7 mins,Children,TV Production
Word Up,"$337,265",Oct 2014,South Pacific Pictures,TV One,13 x 30 mins,Comedy,TV Production
Young Farmer Contest 2015,"$107,767",Oct 2014,Dexterity Productions,TV One,1 x 60 mins,Special Interest,TV Production
The Art Of Recovery,"$183,043",Oct 2014,New City Films,TV One,1 x 60 mins,Documentary,TV Production
Anzac 2015: Dawn Service & Commemorative Service,"$141,340",Oct 2014,TVNZ,TV One,2 x 75 mins,Arts/Culture,TV Production
Attitude 2015,"$1,787,300",Oct 2014,Attitude Pictures,TV One,34 x 30 mins,Special Interest,TV Production
All We Can Eat,"$99,999",Oct 2014,White Balance Pictures,Online Platform,1 x 60 mins,Documentary,TV Production
7 Days 2015,"$947,692",Oct 2014,MediaWorks TV,TV3,32 x 30 mins,Comedy,TV Production
What Now 2015,"$3,189,000",Oct 2014,Whitebait Productions,TV 2,40 x 120 mins,Children,TV Production
X Factor NZ 2,"$800,000",Jul 2014,MediaWorks TV,TV3,41 x 60 mins,Arts/Culture,TV Production
Vodafone NZ Music Awards 2014,"$165,938",Jul 2014,MediaWorks TV,FOUR,1 x 120 mins,Arts/Culture,TV Production
Country Calendar 2015,"$425,036",Jul 2014,TVNZ,TV One,30 x 30 mins,Documentary,TV Production
House Hunt,"$686,799",Jul 2014,Imagination Television,TV One,10 x 30 mins,Documentary,TV Production
Bogans,"$321,902",Jul 2014,Workhouse,TV 2,10 x 30 mins,Documentary,TV Production
The Big Ward,"$433,996",Jul 2014,Greenstone TV,TV 2,10 x 30 mins,Documentary,TV Production
Forensics: The Science Behind The Truth,"$1,019,124",Jul 2014,South Pacific Pictures,Prime,6 x 60 mins,Documentary,TV Production
The Dna Detectives,"$1,045,671",Jul 2014,Jam TV,TV One,6 x 60 mins,Documentary,TV Production
Westside 1,"$4,838,254",Jul 2014,South Pacific Pictures,TV3,6 x 60 mins,Drama,TV Production
Step Dave 2,"$6,820,420",Jul 2014,South Pacific Pictures,TV 2,13 x 60 mins,Drama,TV Production
Hillary,"$6,468,835",Jul 2014,Great Southern Television,TV One,6 x 60 mins,Drama,TV Platinum Fund
TV2 Kids Awards,"$142,000",May 2014,Whitebait Productions,TV 2,1 x 60 mins,Children,TV Production
Election Specials: 7 Days & Jono And Ben At Ten,"$85,940",May 2014,MediaWorks TV,TV3,2 x 30 mins,Comedy,TV Production
This Town 2,"$968,820",May 2014,Jam TV,TV One,8 x 60 mins,Documentary,TV Production
Keeping Up With The Kaimanawas,"$524,050",May 2014,Bravo Communications,TV One,8 x 30 mins,Documentary,TV Production
Little Criminals,"$169,967",May 2014,White Balance Pictures,Prime,1 x 60 mins,Documentary,TV Production
NZ Women In Rock,"$231,555",May 2014,Kingfisher Films,Prime,1 x 90 mins,Arts/Culture,TV Production
Bullies,"$439,200",May 2014,The Gibson Group,Prime,3 x 60 mins,Documentary,TV Production
Poi E,"$199,000",May 2014,Patea Film Collective,Maori Television,1 x 120 mins,Documentary,TV Production
A Karakia For Alan Smith,"$124,990",May 2014,Blue Bach Productions,Maori Television,1 x 60 mins,Documentary,TV Production
Murupara Dreaming,"$118,613",May 2014,Bates Productions,Maori Television,1 x 60 mins,Documentary,TV Production
A New Zealand Way Of Death,"$125,000",May 2014,Pou Media Limited,Maori Television,1 x 60 mins,Documentary,TV Production
The Silent Soldiers,"$125,053",May 2014,Whitiora Productions,Maori Television,1 x 60 mins,Documentary,TV Production
Christchurch From The Streets 2,"$248,425",May 2014,Frank Film,TV One,6 x 30 mins,Special Interest,TV Production
Attitude Awards 2014,"$159,900",May 2014,Attitude Pictures,TV One,1 x 60 mins,Special Interest,TV Production
TV Captioning & Audio Description 2014/15,"$2,400,000",May 2014,Media Access Charitable Trust (ABLE),Captioning and Audio Description,,,Captioning and Audio Description
Belief,"$606,701",May 2014,KHF Media,TV One,1 x 60 mins,Documentary,TV Platinum Fund
2Kaha 2014,"$1,025,000",May 2014,Whitebait Productions,TV 2,25 x 30 mins,Youth,TV Production
Why Are We Fat?,"$532,594",Mar 2014,Razor Films,Prime,3 x 60 mins,Documentary,TV Platinum Fund
"Chunuk Bair 2014, 2015","$200,000",Mar 2014,Maori Television,Maori Television,2 x 60 mins,Arts/Culture,TV Production
What Are We Going To Do About Koro?,"$125,000",Mar 2014,Ponsonby Productions,Maori Television,1 x 60 mins,Documentary,TV Production
The Dragon Story,"$196,037",Mar 2014,Notable Pictures,Prime,1 x 90 mins,Arts/Culture,TV Production
Get Your Arse Off The Table,"$124,696",Mar 2014,Itinui Productions,Maori Television,1 x 60 mins,Documentary,TV Production
Happy Hour,"$1,182,822",Mar 2014,Pango Aotearoa,TV One,8 x 60 mins,Arts/Culture,TV Production
Shovels And Guns,"$124,200",Mar 2014,Kahawai Productions,Maori Television,1 x 60 mins,Documentary,TV Production
Smokefree Rockquest 2014,"$319,050",Mar 2014,Commotion,FOUR,6 x 30 mins,Children,TV Production
Hikoi: The Land March,"$232,513",Mar 2014,Scottie Douglas Productions,TV One,1 x 60 mins,Documentary,TV Production
Nothing Trivial: The Finale,"$1,611,635",Mar 2014,South Pacific Pictures,TV One,1 x 120 mins,Drama,TV Production
Target Zero,"$122,203",Mar 2014,Top Shelf Productions,Maori Television,1 x 60 mins,Documentary,TV Production
Venus And Mars,"$2,663,397",Mar 2014,Screentime New Zealand,TV One,1 x 120 mins,Drama,TV Production
Mending The Makotuku,"$124,790",Mar 2014,Tawera Productions,Maori Television,1 x 60 mins,Documentary,TV Production
Freezing Works,"$135,020",Mar 2014,Monsoon Pictures International,Maori Television,1 x 60 mins,Documentary,TV Production
Dreams Lie Deeper - Dave Dobbyn Pike River Special,"$210,520",Mar 2014,Satellite Media Group,TV One,1 x 60 mins,Arts/Culture,TV Platinum Fund
Best Bits 2,"$401,171",Dec 2013,The Downlowconcept,TV One,13 x 30 mins,Comedy,TV Production
Comedy Gala 2014,"$121,401",Dec 2013,MediaWorks TV,TV3,1 x 120 mins,Comedy,TV Production
Last Laughs After Hours,"$165,364",Dec 2013,MediaWorks TV,TV3,9 x 30 mins,Comedy,TV Production
Grand Designs NZ,"$550,000",Dec 2013,Imagination Television,TV3,10 x 60 mins,Documentary,TV Production
Inconceivable,"$621,190",Dec 2013,Screentime New Zealand,TV One,6 x 60 mins,Documentary,TV Production
Shearing Gang 3,"$404,834",Dec 2013,Great Southern Television,Prime,10 x 30 mins,Documentary,TV Production
The Day That Changed My Life,"$174,927",Dec 2013,Robbers Dog,TV One,1 x 60 mins,Documentary,TV Production
Lost And Found 1,"$949,607",Dec 2013,Eyeworks New Zealand,TV3,10 x 60 mins,Documentary,TV Production
Behind The Brush 2,"$175,000",Dec 2013,Awa Films,Maori Television,7 x 30 mins,Arts/Culture,TV Production
Pukana Subtitles 2014,"$53,130",Dec 2013,Cinco Cine Film Productions,FOUR,80 x 30 mins,Special Interest,TV Production
Kiwi Blacks In The Winter White - Attitude Special,"$261,710",Dec 2013,Attitude Pictures,TV One,1 x 30 mins,Special Interest,TV Production
The Women Of Pike River,"$229,968",Dec 2013,Greenstone TV,TV One,1 x 60 mins,Documentary,TV Production
Abandoned,"$2,600,000",Dec 2013,Abandoned,TV One,1 x 103 mins,Drama,TV Production
The Brokenwood Mysteries 1,"$4,276,000",Dec 2013,South Pacific Pictures,Prime,4 x 120 mins,Drama,TV Production
Descent From Disaster 2,"$1,170,000",Dec 2013,Screentime New Zealand,TV One,6 x 60 mins,Documentary,TV Platinum Fund
Q + A 2014,"$835,356",Dec 2013,TVNZ,TV One,40 x 60 mins,News / Current Affairs,TV Platinum Fund
How To Murder Your Wife,"$2,852,627",Dec 2013,Screentime New Zealand,TV One,1 x 120 mins,Drama,TV Platinum Fund
Whanau 2014 (Part 3),"$124,981",Dec 2013,Tumanako Productions,Maori Television,1 x 60 mins,Documentary,TV Production
Media Take 1,"$482,193",Dec 2013,Top Shelf Productions,Maori Television,20 x 30 mins,Special Interest,TV Production
The Nation 2014,"$899,250",Dec 2013,MediaWorks TV,TV3,42 x 60 mins,News / Current Affairs,TV Platinum Fund
On Thin Ice: Nigel Latta In Antarctica,"$223,716",Dec 2013,Razor Films,TV One,2 x 60 mins,Documentary,TV Production
The 4.30 Show 2014,"$3,080,400",Oct 2013,Whitebait Productions,TV 2,200 x 30 mins,Children,TV Production
TV Captioning & Audio Description Q3 & Q4 2013/14,"$1,550,000",Oct 2013,Media Access Charitable Trust,Captioning and Audio Description,,,Captioning and Audio Description
Fresh 2014,"$1,143,848",Oct 2013,TVNZ,TV 2,25 x 30 mins,Special Interest,TV Production
Girl Vs Boy 3,"$988,702",Oct 2013,KHF Media,TV 2,6 x 30 mins,Children's Drama,TV Production
Just The Job 9,"$177,017",Oct 2013,Dave Mason Productions,TV 2,10 x 30 mins,Children,TV Production
Little Monstar 1,"$789,960",Oct 2013,Tiki Tour (2010),TV 2,40 x 5 mins,Children,TV Production
Neighbourhood 2014,"$1,385,300",Oct 2013,Satellite Media Group,TV One,35 x 30 mins,Special Interest,TV Production
Operation Hero 4,"$489,500",Oct 2013,The Gibson Group,TV 2,10 x 30 mins,Children,TV Production
Pakipumeka Aotearoa 2013/14,"$7,253",Oct 2013,Maori Television,Maori Television,10 x 60 mins,Documentary,TV Strand
Praise Be 2014,"$329,996",Oct 2013,TVNZ,TV One,40 x 30 mins,Special Interest,TV Production
Real Pasifik 2,"$350,000",Oct 2013,Zoomslide Media,TV One,7 x 30 mins,Special Interest,TV Production
Rural Delivery 2014,"$1,100,000",Oct 2013,Showdown Productions,TV One,40 x 30 mins,Special Interest,TV Production
Sticky TV 2014,"$2,364,442",Oct 2013,Pickled Possum Productions,FOUR,264 x 35 mins,Children,TV Production
Tagata Pasifika 2014,"$1,598,872",Oct 2013,TVNZ,TV One,54 x 30 mins,Special Interest,TV Production
Te Araroa: Tales From The Trails 1,"$280,000",Oct 2013,Scottie Douglas Productions,Maori Television,7 x 60 mins,Documentary,TV Production
Terry Teo,"$1,335,781",Oct 2013,Semi-Professional,TV 2,6 x 30 mins,Children's Drama,TV Production
The Festival,"$399,918",Oct 2013,Notable Pictures,TV3,10 x 30 mins,Special Interest,TV Production
The Moe Show 1,"$2,020,120",Oct 2013,Pop-Up Workshop,FOUR,52 x 11 mins,Children,TV Production
Wiki The Kiwi 2,"$339,670",Oct 2013,Wiki the Kiwi,TV 2,12 x 7 mins,Children,TV Production
Young Farmer Contest 2014,"$99,913",Oct 2013,Dexterity Productions,TV One,1 x 60 mins,Special Interest,TV Production
What Now 2014,"$3,189,000",Oct 2013,What Now,TV 2,40 x 120 mins,Children,TV Production
Both Worlds 3,"$382,582",Oct 2013,Notable Pictures,TV3,10 x 30 mins,Special Interest,TV Production
Beneath NZ,"$390,000",Oct 2013,Beneath NZ,Prime,3 x 60 mins,Documentary,TV Platinum Fund
Back Benches 2014,"$599,712",Oct 2013,TVNZ,Prime,20 x 60 mins,Special Interest,TV Production
Attitude 2014,"$1,718,450",Oct 2013,Attitude Pictures,TV One,35 x 30 mins,Special Interest,TV Production
Anzac 2014 National Comm. Service,"$48,809",Oct 2013,TVNZ,TV One,1 x 60 mins,Arts/Culture,TV Production
Anzac 2014,"$120,000",Oct 2013,Maori Television,Maori Television,1 x 195 mins,Arts/Culture,TV Production
Once Were Warriors - Where Are They Now?,"$117,711",Oct 2013,Jump Film and Television,Maori Television,1 x 60 mins,Documentary,TV Production
Anzac: Tides Of Blood,"$329,000",Oct 2013,Frame Up Films,Maori Television,1 x 120 mins,Documentary,TV Platinum Fund
New Zealand's Got Talent 2,"$800,000",Aug 2013,Imagination Television,TV One,17 x 60 mins,Arts/Culture,TV Production
Agent Anna 2,"$2,456,033",Aug 2013,Great Southern Television,TV One,10 x 30 mins,Comedy,TV Production
Step Dave 1,"$6,620,216",Aug 2013,South Pacific Pictures,TV 2,13 x 60 mins,Drama,TV Production
7 Days 2014,"$770,000",Aug 2013,TVWorks,TV3,26 x 30 mins,Comedy,TV Production
When We Go To War,"$6,099,820",Aug 2013,Jump Film and Television,TV One,6 x 60 mins,Drama,TV Platinum Fund
The Trouble With Murder,"$478,500",Aug 2013,The Gibson Group,Prime,3 x 60 mins,Documentary,TV Platinum Fund
Country Calendar 2014,"$425,036",Aug 2013,Television New Zealand,TV One,30 x 30 mins,Documentary,TV Production
Intrepid New Zealand,"$1,045,895",Aug 2013,Eyeworks New Zealand,TV One,8 x 60 mins,Documentary,TV Production
Jono And Ben At Ten 2014,"$1,192,500",Aug 2013,MediaWorks TV,TV3,26 x 30 mins,Comedy,TV Production
Nigel Latta Blows Stuff Up,"$768,430",Aug 2013,Razor Films,TV One,8 x 30 mins,Documentary,TV Production
Radio Punks: The Student Radio Story,"$149,857",Aug 2013,Perendale Productions,Prime,1 x 60 mins,Documentary,TV Production
